title,year,authors,citations,abstract
CircPPAP2B controls metastasis of clear cell renal cell carcinoma via HNRNPC-dependent alternative splicing and targeting the miR-182-5p/CYP1B1 axis,2024,"Zaosong Zheng, Xiangbo Zeng, Yuanchao Zhu",53,"Background Renal cell carcinoma (RCC) is one of the most common malignant tumor worldwide. Metastasis is a leading case of cancer-related deaths of RCC. Circular RNAs (circRNAs), a class of noncoding "
Mechanism Explanation on Improved Cognitive Ability of D-Gal Inducing Aged Mice Model by Lactiplantibacillus plantarum MWFLp-182 via the Microbiota-Gut-Brain Axis.,2024,"Hui Nie, Xinxin Wang, Yanghe Luo",19,Gut microbiota can influence cognitive ability via the gut-brain axis. Lactiplantibacillus plantarum MWFLp-182 (L. plantarum MWFLp-182) was obtained from feces of long-living individuals and could exe
Synovia tissue-specific exosomes participate in the dual variation of the osteoarthritis microenvironment via miR-182.,2024,"Shiqiang Wu, Jun Luo, Xiaolu Zhang",10,"Osteoarthritis (OA) is the most common type of joint disease and the leading cause of chronic disability among older adults. As an important component of the joint, synovium influences the inflammator"
The miR-182-5p/GPX4 Pathway Contributes to Sevoflurane-Induced Ototoxicity via Ferroptosis,2024,"Lin Jin, Xiao-gang Yu, Xuehua Zhou",9,Our study aimed to investigate the role of ferroptosis in sevoflurane-induced hearing impairment and explore the mechanism of the microRNA-182-5p (miR-182-5p)/Glutathione Peroxidase 4 (GPX4) pathway i
Neutrophil membrane-engineered Panax ginseng root-derived exosomes loaded miRNA 182-5p targets NOX4/Drp-1/NLRP3 signal pathway to alleviate acute lung injury in sepsis: experimental studies,2023,"Chunhua Ma, Kun Liu, Fei Wang",53,Background: The purpose of this study was to prepare neutrophil membrane-engineered Panax ginseng root-derived exosomes (N-exo) and investigate the effects of N-exo microRNA (miRNA) 182-5p (N-exo-miRN
Bile exosomal miR-182/183-5p increases cholangiocarcinoma stemness and progression by targeting HPGD and increasing PGE2 generation,2023,"Lizhuang Shu, Xingyong Li, Zeng-li Liu",50,Background & Aims: Cholangiocarcinoma (CCA) is a highly lethal malignancy originating from the biliary ducts. Current CCA diagnostic and prognostic assessments cannot satisfy the clinical requirement.
Liver microRNA transcriptome reveals miR-182 as link between type 2 diabetes and fatty liver disease in obesity,2024,"C. Krause, J. Britsemmer, Miriam Bernecker",12,"Background The development of obesity-associated comorbidities such as type 2 diabetes (T2D) and hepatic steatosis has been linked to selected microRNAs in individual studies; however, an unbiased gen"
Endothelial progenitor cell derived exosomes mediated miR-182-5p delivery accelerate diabetic wound healing via down-regulating PPARG,2023,"Peng Li, Guanhao Hong, Weiqiang Zhan",29,"Diabetic wound is one of the most common and serious complications of diabetes, which is characterized by abnormal number and quality of wound repair related cells. Previous studies have shown that hu"
The effects of trade openness on decoupling carbon emissions from economic growth – Evidence from 182 countries,2020,"Qiang Wang, Fuyu Zhang",568,"The current rise of protectionism has become the main uncertainty associated with global energy, economy, and the environment. Furthermore, the decoupling carbon emissions from economic growth is cruc"
Health security capacities in the context of COVID-19 outbreak: an analysis of International Health Regulations annual report data from 182 countries,2020,"N. Kandel, S. Chungong, Abbas Omaar",476,"Background Public health measures to prevent, detect, and respond to events are essential to control public health risks, including infectious disease outbreaks, as highlighted in the International He"
"DNA hypermethylation-induced miR-182 silence targets BCL2 and HOXA9 to facilitate the self-renewal of leukemia stem cell, accelerate acute myeloid leukemia progression, and determine the sensitivity of BCL2 inhibitor venetoclax",2023,"Sisi Ye, Fang Xiong, Xiaofei He",22,Rationale: microRNAs (miRNAs) are frequently deregulated and play important roles in the pathogenesis and progression of acute myeloid leukemia (AML). miR-182 functions as an onco-miRNA or tumor suppr
MicroRNA-183/96/182 cluster in immunity and autoimmunity,2023,"Zhuang Wang, R. Dai, S. Ahmed",16,"MicroRNAs (miRNAs) are crucial post-transcriptional regulators of gene expression in ubiquitous biological processes, including immune-related pathways. This review focuses on the miR-183/96/182 clust"
A novel microRNA-182/Interleukin-8 regulatory axis controls osteolytic bone metastasis of lung cancer,2023,"Ming-Na Zhao, Ling-Fei Zhang, Zhen Sun",19,"Bone metastasis is one of the main complications of lung cancer and most important factors that lead to poor life quality and low survival rate in lung cancer patients. However, the regulatory mechani"
The emerging role of MicroRNA-182 in tumorigenesis; a promising therapeutic target,2023,"Pouriya Sameti, Maryam Tohidast, M. Amini",19,"A wide range of studies have indicated that microRNAs (miRNAs), a type of small single-stranded regulatory RNAs, are dysregulated in a different variety of human cancers. Therefore, they are expected "
MiR-182 Is Upregulated in Prostate Cancer and Contributes to Tumor Progression by Targeting MITF,2023,"M. Stafford, D. McKenna",18,"Altered expression of microRNA-182-5p (miR-182) has been consistently linked with many cancers, but its specific role in prostate cancer remains unclear. In particular, its contribution to epithelial–"
Sleep Deprivation Promotes Endothelial Inflammation and Atherogenesis by Reducing Exosomal miR-182-5p,2023,"Xiao Li, Ying Cao, Xinxin Xu",16,"Background: Insufficient or disrupted sleep increases the risk of cardiovascular disease, including atherosclerosis. However, we know little about the molecular mechanisms by which sleep modulates ath"
MiR-182-5p: A Novel Biomarker in the Treatment of Depression in CSDS-Induced Mice,2023,"Ya-Bin Zheng, Xiao-Ming Sheng, Xiang Jin",13,Abstract Background Depression is a neuropsychiatric disease with a high disability rate and mainly caused by the chronic stress or genetic factors. There is increasing evidence that microRNAs (miRNAs
Stat5 inhibits NLRP3‐mediated pyroptosis to enhance chemoresistance of breast cancer cells via promoting miR‐182 transcription,2023,"Peng Wan, Xiaolan He, Ying Han",13,The treatment of breast cancer (BC) calls for targeted methods to overcome chemoresistance (CR). This study is expected to figure out the mechanism of signal transducer and activator of transcription 
Astrocytes-derived exosomes pre-treated by berberine inhibit neuroinflammation after stroke via miR-182-5p/Rac1 pathway.,2023,"Wangli Ding, Qiu-Yan Gu, Man-man Liu",44,"BACKGROUND
Our previous studies have shown that berberine can improve the nerve function deficits in ischemic stroke by inhibiting inflammation. The cellular communication between astrocytes and neuro"
Inhibition of miR-182-5p Targets FGF9 to Alleviate Osteoarthritis,2023,"Yang Sun, Sanmao Su, Meng Li",11,"Background The pathogenesis of osteoarthritis (OA) is complex and there is no specific drug for treatment. The aim of this study was to identify the molecular targets of OA therapy, focusing on the ex"
Exosome‐derived miR‐182‐5p promoted cholangiocarcinoma progression and vasculogenesis by regulating ADK/SEMA5a/PI3K pathway,2023,"Jifei Wang, Wangjie Jiang, Shuochen Liu",10,"Increasing evidence suggested that miRNAs regulated the expression of pivotal genes involved in oncogenesis and malignant phenotype. In this project, the purpose was to make an inquiry to the effect a"
Role of miR-182 in cardiovascular and cerebrovascular diseases,2023,"G. Pei, Li Chen, Yang Wang",11,"The treatment of cardiovascular and cerebrovascular diseases have undergone major advances in recent decades, allowing for a more effective prevention of cardiovascular and cerebrovascular events. How"
Exosomal miR-182 derived from bone marrow mesenchymal stem cells drives carfilzomib resistance of multiple myeloma cells by targeting SOX6,2023,"Shifeng Long, Shengping Long, Honglei He",10,"Background Multiple myeloma (MM) is a common hematological malignancy. Drug resistance remains to be a major clinical challenge in MM therapy. In this study, we aim to investigate the functional roles"
Potential involvement of miR-183/96/182 cluster-gene target interactions in transdifferentiation of human retinal pigment epithelial cells into retinal neurons.,2023,"Maliheh Davari, Z. Soheili, Hamid Latifi-Navid",9,miR-183/96/182 cluster plays a critical role in the developing retina by regulating many target genes involved in signaling pathways. This study aimed to survey the miR-183/96/182 cluster-target inter
Synovial fluid exosome-derived miR-182-5p alleviates osteoarthritis by downregulating TNFAIP8 and promoting autophagy through LC3 signaling.,2023,"Yunhan Ji, Li Xiong, Gonghao Zhang",23,"OBJECTIVE
To investigate the role of exosomal miRNAs from synovial fluid (SF) in osteoarthritis (OA) patients and investigate the underlying molecular mechanism.


METHODS
Degenerated knee tissues wer"
Gypenoside XVII inhibits ox-LDL-induced macrophage inflammatory responses and promotes cholesterol efflux through activating the miR-182-5P/HDAC9 signaling pathway.,2023,"Wen-Yi Deng, Cheng Zhou, Meng-Ya Zeng",13,"ETHNOPHARMACOLOGICAL RELEVANCE
The deposition of lipids in macrophages and the subsequent formation of foam cells significantly increase the risk of developing atherosclerosis (AS). Targeting ATP-bind"
Effect of miR-182-5p on apoptosis in myocardial infarction,2023,"Nan Niu, Huangtai Miao, Hongmei Ren",8,"Objective This study aimed to delineate the diagnostic significance of miR-182-5p by investigating its influence on myocardial apoptosis and function, employing both in vivo and in vitro myocardial in"
Mesenchymal stromal cell-derived exosomes attenuate myocardial ischaemia-reperfusion injury through miR-182-regulated macrophage polarization,2019,"Jinxuan Zhao, Xueling Li, Jiaxin Hu",629,"Abstract Aims Mesenchymal stromal cells (MSCs) gradually become attractive candidates for cardiac inflammation modulation, yet understanding of the mechanism remains elusive. Strikingly, recent studie"
Mesenchymal stem cell-derived exosomal microRNA-182-5p alleviates myocardial ischemia/reperfusion injury by targeting GSDMD in mice,2022,"R. Yue, Shengzhong Lu, Yu Luo",76,Recent evidence indicates that exosomes derived from mesenchymal stem cells (MSCs) confer protective effects against myocardial ischemia/reperfusion (I/R) injury. Exosomes are carriers of potentially 
miR-182 targeting reprograms tumor-associated macrophages and limits breast cancer progression,2022,"Chengxin Ma, Dasa He, Pu Tian",67,"Significance Breast cancer is a major threat of women’s health worldwide. Nontumor cell components play crucial roles in cancer. Macrophages, the cells of the innate immune system that normally exert "
Versatile 126–182 GHz UWB D-Band FMCW Radar for Industrial and Scientific Applications,2022,"S. Kueppers, T. Jaeschke, N. Pohl",51,"In this letter, a D-band frequency-modulated continuous wave (FMCW) radar for industrial and scientific applications is presented. It covers an ultrawide 56 GHz sweep bandwidth (126–182 GHz, 36.4%) an"
