title,year,authors,citations,abstract
Erratum: Simultaneous submicrometric 3D imaging of the micro-vascular network and the neuronal system in a mouse spinal cord (Scientific Reports (2015) 5: (8514) 10.1038/srep08514),2015,"M. Fratini, I. Bukreeva, G. Campi",162,"Faults in vascular (VN) and neuronal networks of spinal cord are responsible for serious neurodegenerative pathologies. Because of inadequate investigation tools, the lacking knowledge of the complete"
Common genetic variation drives molecular heterogeneity in human iPSCs,2017,"H. Kilpinen, Ângela Gonçalves, Andreas Leha",545,This corrects the article DOI: 10.1038/nature22403
"Genome-wide meta-analysis, fine-mapping, and integrative prioritization implicate new Alzheimer’s disease risk genes",2021,"J. Schwartzentruber, Sarah Cooper, J. Liu",423,A Correction to this paper has been published: https://doi.org/10.1038/s41588-021-00822-1.
"Erratum: Human grasping database for activities of daily living with depth, color and kinematic data streams",2018,"Artur Saudabayev, Zhanibek Rysbek, Raykhan Khassenova",547,"Scientific Data 5:180101 doi: 10.1038/sdata.2018.101 (2018), Published 29 May 2018; Updated 24 July 2018 An incorrect URL was erroneously included in Data Citation 1. The correct URL has now been inse"
International network of cancer genome projects,2010,"T. Hudson, W. Anderson, Axel Artez",2112,This corrects the article DOI: 10.1038/nature08987
Relaxation in a completely integrable many-body quantum system: an ab initio study of the dynamics of the highly excited states of 1D lattice hard-core bosons.,2006,"M. Rigol, V. Dunjko, V. Yurovsky",1143,"In this Letter we pose the question of whether a many-body quantum system with a full set of conserved quantities can relax to an equilibrium state, and, if it can, what the properties of such a state"
Erratum: Author Correction: Immune cell profiling of COVID-19 patients in the recovery stage by single-cell sequencing.,2020,"Wen Wen, W. Su, Hao Tang",293,[This corrects the article DOI: 10.1038/s41421-020-0168-9.].
Matchgate Shadows for Fermionic Quantum Simulation,2022,"Kianna Wan, W. Huggins, Joonho Lee",124,"“Classical shadows” are estimators of an unknown quantum state, constructed from suitably distributed random measurements on copies of that state (Huang et al. in Nat Phys 16:1050, 2020, https://doi.o"
High-depth African genomes inform human migration and health,2020,"A. Choudhury, S. Aron, Laura R. Botigué",283,A Correction to this paper has been published: https://doi.org/10.1038/s41586-021-03286-9.
Homological scaffolds of brain functional networks,2014,"G. Petri, P. Expert, F. Turkheimer",655,"Networks, as efficient representations of complex systems, have appealed to scientists for a long time and now permeate many areas of science, including neuroimaging (Bullmore and Sporns 2009 Nat. Rev"
"Stretchable, dynamic covalent polymers for soft, long-lived bioresorbable electronic stimulators designed to facilitate neuromuscular regeneration",2020,"Yeon Sik Choi, Yuan-Yu Hsueh, Jahyun Koo",246,A Correction to this paper has been published: https://doi.org/10.1038/s41467-020-20857-y
