title,year,authors,citations,abstract
On the unit group of some multiquadratic fields,2025,"M. M. Chems-Eddin, Hamza El Mamry",2,"In this paper, we calculate the unit groups and the 2-class numbers of the fields K=Q(2,p1,p2)\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{"
Inverse source problems for a multidimensional time fractional wave equation with integral overdetermination conditions,2025,Durdiev Durdimurod Kalandarovich,2,"In this paper, we consider two linear inverse problems for the time-fractional wave equation, assuming that its right-hand side takes the separable form f(t)h(x)), where \documentclass[12pt]{minimal} "
Linear-time Minimum Bayes Risk Decoding with Reference Aggregation,2024,"Jannis Vamvas, Rico Sennrich",24,"Minimum Bayes Risk (MBR) decoding is a text generation technique that has been shown to improve the quality of machine translations, but is expensive, even if a sampling-based approximation is used. B"
Mesenteric Ischemia,2021,"Adam Cloud, John N. Dussel, Carissa Webster-Lake",394,: Audience: This simulation session is appropriate for emergency medicine residents at any level or medical students. Objectives the learner will: 1) recognize signs and symptoms of mesenteric ischemi
A classification of nilpotent compatible Lie algebras,2024,"M. Ladra, Bernardo Leite da Cunha, Samuel A. Lopes",9,"Working over an arbitrary field of characteristic different from 2, we extend the Skjelbred-Sund method to compatible Lie algebras and give a full classification of nilpotent compatible Lie algebras u"
RETRACTED ARTICLE: On the algebraic transfers of ranks 4 and 6 at generic degrees,2024,Ɖặng Võ Phúc,8,Let A\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsi
Investigation of Effective Fracture Height Using Strain Responses in a Vertical Monitoring Well During a Well Interference Test,2024,"Wei Ma, Kan Wu, G. Jin",8,"
 Understanding and characterizing the effective hydraulic fracture height is critical for optimizing completion design and well performance in unconventional reservoirs. Rayleigh Frequency Shift Dist"
Engineered Low Salinity Waterflood in Carbonate Reservoirs?Boosting Fluid-fluid Interaction and Oil Recovery by Cost Effective Additives,2024,"H. Yonebayashi, T. Hiraiwa, M. Tange",6,"
 Low salinity water (LSW) enhanced oil recovery (EOR) has gained more attention in carbonate reservoirs with variety of mechanism hypothesis. Recent research focused on fluid-fluid interaction, formi"
Functional Components in Low Salinity Waterflood Forming Micro-Dispersion Phase via Fluid-Fluid Interaction in Carbonate Reservoirs,2024,"H. Yonebayashi, T. Hiraiwa, M. Tange",5,"
 Low salinity water (LSW) enhanced oil recovery (EOR) has gained more attention in carbonate reservoirs with a variety of mechanism hypotheses. Recent research focused on fluid-fluid interaction (FFI"
On the Significance of Hydrate Formation/Dissociation during CO2 Injection in Depleted Gas Reservoirs,2024,"V. Indina, B. R. Fernandes, M. Delshad",4,"
 The study aims to quantitatively assess the risk of hydrate formation within the porous formation and its consequences to injectivity during storage of CO2 in depleted gas reservoirs considering low"
Integrated Subsurface and Fracturing Treatment Analysis for Proppant Placement Enhancement in Tight Clastic Horizontal Well Fracturing,2024,"A. Asif, Abdul Muqtadir Khan, M. Asiri",4,"
 Fracturing treatments in horizontal wells is challenging and the challenges are compounded in reservoirs influenced by high tectonic effects. Situations are faced where either rock breakdown or suff"
Parametric Taxonomy of Educational Texts,2024,"R. Kupriyanov, Marina I. Solnyshkina, Polina A. Lekhnitskaya",3,The article is aimed at considering the issue of the discursive text typology and developing a parametric model of the elementary school texts for the ontological domain by employing a corpus-based ap
