title,year,authors,citations,abstract
Marketing of LIS Products and Services in Select Economics Libraries in Delhi,2016,"R. K. Bhatt, Amith Kumar, M. Yusuf",8,"This paper deals with marketing of Library and Information Sciences products and services of the select economics libraries in Delhi. Marketing, nowadays, is becoming imperative to be applied as it he"
Everything is Marketing: An Analysis of Functional Relationships of Marketing and Libraries,2016,D. Gupta,6,"The scope of marketing in libraries is unlimited but has not been fully explored. To understand it more precisely, the scope of marketing by way of its function needs to be understood. The functions o"
Social Media and Library Marketing: Experiences of KN Raj Library,2016,V. Sriram,5,Marketing is essential for attracting potential customers and retaining existing customers. Libraries and information centres are also increasingly entering into the foray of library marketing and pub
"Marketing of Library Resources, Services and Products: A Case Study of IIT Delhi",2016,"Vanita Khanchandani, Nabi Hasan",3,"Indian Institute of Technology, Delhi is one of the premier institutes of India and was established in 1961. To cater the research and the teaching needs of the institute, Central Library, IIT Delhi i"
A Linear Antenna Array Failure Correction with Null Steering using Firefly Algorithm,2014,"N. S. Grewal, M. Rattan, M. Patterh",28,The element failure of digital beam forming array antenna systems used in defence equipment increases the side lobe power level which distorts the beam pattern of the antenna array. The problem of arr
Internal Ballistic code for Solid rocket Motors using Minimum distance Function for Grain Burnback,2015,"Afroz Javed, Iyer Arvind Sundaram, D. Chakraborty",12,"A computer code has been developed for internal ballistic performance evaluation of solid rocket motors, using minimum distance function (MDF) approach for prediction of geometry evolution. This metho"
Managing Intellectual Property in Digital Environment through Digital Object Identifier (DOI),2004,R. Srivastava,1,"Paper discusses use of digital object identifier (DOI) for managing intellectual contents in a networked environment. Highlights components, features, aims, standards, and benefits of DOI. How DOI can"
Numerical Simulation of a Hypersonic Air Intake,2015,"S. Saha, D. Chakraborty",4,Numerical simulations were carried out to study the unsteady flow in an intake of hypersonic air-breathing vehicle. Unsteady RANS simulations were performed to examine started flow of the intake when 
Determination of Activation Energy of Relaxation Events in Composite Solid Propellants by Dynamic Mechanical Analysis,2014,"B. Bihari, V. Wani, N. Rao",26,"The shelf life of a composite solid propellant is one of the critical aspects for the usage of solid propellants. To assess the ageing behavior of the composite solid propellant, the activation energy"
Design and Analysis of Slit-cut Stacked Equilateral Triangular Microstrip Patch Antenna,2015,"Prabal Pratap, R. S. Bhatia, B. Kumar",2,"In this paper, a novel structure of slit-cut stacked equilateral triangular microstrip antenna (ETMA) has been theoretically studied using cavity model and found in agreement with the stimulated resul"
Analgorithmic Framework for Automatic Detection and Tracking Moving Point Targets in IR Image Sequences,2015,"R. A. Raji, R. Chekuri, R. Karri",1,Imaging sensors operating in infrared (IR) region of electromagnetic spectrum are gaining importance in airborne automatic target recognition (ATR) applications due to their passive nature of operatio
Real-time Desktop Flying Qualities Evaluation Simulator,2014,"C. Kamali, Archana Hebbar, T. Vijeesh",7,"This paper presents the application of model based design for the development of a real-time flying quality evaluation simulator named NALSim, built around Windows platform. NALSim is a novel rapid pr"
Collision-free Multiple Unmanned Combat Aerial Vehicles Cooperative Trajectory Planning for Time-critical Missions using Differential Flatness Approach,2014,"Xueqiang Gu, Yu Zhang, Jing Chen",7,"This paper investigates the cooperative trajectory planning for multiple unmanned combat aerial vehicles in performing autonomous cooperative air-to-ground target attack missions. Firstly, the collisi"
Probabilistic Analysis of Anti-ship Missile Defence Effectiveness,2014,D. Dutta,7,Effective missile defence systems are primary requirement for naval ships to counter lethal anti-ship cruise missile attacks in today’s naval warfare scenario. Anti-ship ballistic missiles would furth
Combined Effect of Diaphragm and Oxidizer Swirl on Regression Rate in Hybrid Rocket Motors,2014,"P. Chidambaram, Amit Kumar",5,"The present numerical work investigates the effect of a combination of two known regression rate enhancement techniques, namely diaphragm located in the port and swirling oxidizer flow at the inlet. D"
Effect of Surface Fluorination of Poly (p-Phenylene Terephthalamide) Fiber,2014,"J. Maity, C. Jacob, R. Singh",6,Direct fluorination is one of the most important and effective method to modify the polymer surface. It isa simple and fast method that allows the simultaneous treatment of outer and inner surfaces of
Fast Parameterless Ballistic Launch Point Estimation based on k-NN Search,2014,"Soojin Kim, Hyunjoong Kim, Sungzoon Cho",4,This paper discusses the problem of estimating a ballistic trajectory and the launch point by using a trajectory similarity search in a database. The major difficulty of this problem is that estimatio
Micro-Doppler Frequency Estimation Based on Radon-Wigner Transform,2014,"Su Huixia, Su Shidong",2,"A nonparametric computationally efficient algorithm is proposed for micro-Doppler frequency estimation, assuming that this non-linear micro-Doppler frequency is approximate linear frequency in short-t"
An Aircraft Ranging Algorithm Based on Two Frames of Image in Monocular Image Sequence,2014,"Xiao-ning Fu, Lixia Wang",0,We proposed a novel rotation-invariant feature based passive ranging algorithm to estimate the distance of an imaged non-cooperation target to camera. This improved algorithm avoids sometimes occurren
