title,year,authors,citations,abstract
Correction: A weakened Fermi level pinning induced adsorption energy non-charge-transfer mechanism during O2 adsorption in silicene/graphene heterojunctions.,2025,"Xuhong Zhao, Haiyuan Chen, Jianwei Wang",0,"Correction for 'A weakened Fermi level pinning induced adsorption energy non-charge-transfer mechanism during O2 adsorption in silicene/graphene heterojunctions' by Xuhong Zhao et al., Phys. Chem. Che"
Correction: Theoretical study of large-scale graphene on the Cu(111) surface using machine learning potential.,2025,"Jingli Han, Rubén Cabello, Jordi Bonet Ruiz",0,"Correction for 'Theoretical study of large-scale graphene on the Cu(111) surface using machine learning potential' by Jingli Han et al., Phys. Chem. Chem. Phys., 2025, 27, 17717-17729, https://doi.org"
Correction: Modulation of the kinetics of outer-sphere electron transfer at graphene by a metal substrate.,2023,"S. Pavlov, E. O. Kozhevnikova, V. A. Kislenko",0,"Correction for 'Modulation of the kinetics of outer-sphere electron transfer at graphene by a metal substrate' by Sergey V. Pavlov et al., Phys. Chem. Chem. Phys., 2022, 24, 25203-25213, https://doi.o"
Efficient terahertz radiation absorption by dilute graphene composites,2022,"Zahra Barani, K. Stelmaszczyk, F. Kargar",17,The interaction of terahertz electromagnetic radiation with dilute graphene-epoxy composites was studied experimentally at frequencies from 0.25 to 4 THz. Composites with low graphene loading ( 1.2 wt
Correction: Discovering atomistic pathways for supply of metal atoms from methyl-based precursors to graphene surface.,2023,"Davide G Sangiovanni, R. Faccio, G. Gueorguiev",2,"Correction for 'Discovering atomistic pathways for supply of metal atoms from methyl-based precursors to graphene surface' by Davide G. Sangiovanni et al., Phys. Chem. Chem. Phys., 2023, 25, 829-837, "
2D materials: Rising star for future applications,2021,"X. Zou, Yong Xu, W. Duan",45,"Xiaolong Zou,1 Yong Xu,2 and Wenhui Duan2,* 1Shenzhen Geim Graphene Center, Tsinghua-Berkeley Shenzhen Institute and Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen 5180"
"Commentary: A. Garat, Modern Physics Letters A Vol. 35, No. 15, 2050119 (2020). https://doi.org/10.1142/S0217732320501199: Non-null vectors transform into null vectors under Aharonov–Bohm electromagnetic Abelian gauge effects",2025,A. Garat,0,"In this paper, we will make some commentaries in addition to the content of a previous paper. We will complement statements made in this previous paper. Since the new tetrads were introduced in Einste"
"Comments on “Stochastic TEC Structure Characterization” by Charles Rino, Yu Morton, Brian Breitsch, and Charles Carrano, Journal of Geophysical Research: Space Physics, 124, https://doi.org/10.1029/2019JA026958",2021,"A. McCaffrey, P. Jayachandran",1,"Rino et al. (2019, https://doi.org/10.1029/2019JA026958) has recently explored the effects of refractive (total electron content [TEC]) and stochastic/diffractive (scintillation) on the GPS carrier ph"
"Xth International Workshop on New Challenges in Quantum Mechanics: Graphene, Supersymmetry and Mathematical Physics",2025,"David Bermudez, A. Contreras-Astorga, E. Díaz-Bautista",0,"The Xth International Workshop on New Challenges in Quantum Mechanics: Graphene, Supersymmetry and Mathematical Physics (X IWNCQM) was held at the Department of Physics of the Center for Research and "
"A review on graphene oxide: 2D colloidal molecule, fluid physics, and macroscopic materials",2023,"Fang Wang, Wenzhang Fang, Xin Ming",49,"Graphene oxide (GO), a mostly known oxidized derivative of graphene, which possesses two-dimensional (2D) topological nature and good dispersity in multiple common solvents as a single layer, has show"
Recent advances in the physics of Dirac plasmons in graphene and related 2D materials and their THz device applications,2026,"T. Otsuji, V. Ryzhii, S. Boubanga-Tombet",0,"The terahertz (THz) frequency range (0.1–10 THz) bridges the electronic and photonic spectral domains and offers key opportunities for high-speed communication, sensing, and spectroscopy. However, the"
"Engineering THz-frequency light generation, detection, and manipulation through graphene",2025,"M. Vitiello, L. Viti",15,Graphene has been one of the most investigated materials in the last decade. Its unique optoelectronic properties have indeed raised it to an ideal and revolutionary candidate for the development of e
Signatures of chiral superconductivity in rhombohedral graphene,2024,"Tonghang Han, Zhengguang Lu, Zach Hadjri",151,Chiral superconductors are unconventional superconducting states that break time-reversal symmetry spontaneously and typically feature Cooper pairing at non-zero angular momentum. Such states may host
Recent Advances on Graphene Quantum Dots: From Chemistry and Physics to Applications,2019,"Yibo Yan, J. Gong, Jie Chen",703,Graphene quantum dots (GQDs) that are flat 0D nanomaterials have attracted increasing interest because of their exceptional chemicophysical properties and novel applications in energy conversion and s
Graphene-based spintronics,2024,"Gaojie Zhang, Hao Wu, Li Yang",24,"Graphene, the first isolated two-dimensional atomic crystal, is about to pass its 20th year. The last decade has been a critical period for graphene to gradually move from the laboratory to practical "
"The physics of graphene, 2nd edition",2021,A. Harker,27,"The author noted, in the preface to the first edition of this monograph, that the book was written in the way he would teach a course with the title ‘Introduction to the Theory of Graphite’, and that "
Review: moiré-of-moiré superlattice in twisted trilayer graphene,2025,"Wei Ren, Zi-xuan Zhu, Xi Zhang",4,"When a third layer of graphene is transferred on top of twisted bilayer graphene with a second twist, the atomic and electronic structure of the system can be significantly enriched. Generally, the tw"
Exploring the moiré effect of graphene structure through optical diffraction experiments,2025,"Ying Fei, Ruiyang Liu, Yiquan Zhou",0,Moiré effect is a common phenomenon that arises from a slight mismatch in the period of two structures. A prominent example in the microscopic world is magic-angle twisted bilayer graphene (MATBG). In
Study the Effect of Variation in Voltage and Electrolytic Solution Medium in the Electrochemical Exfoliation of Graphite to Graphene Oxide,2025,"Md. Khorshed Alam, Mohammad Amirul Hoque, Sabbir Hossain Naeem",0,"Graphene oxide (GO) and its reduced form have recently attracted significant interest due to their outstanding physical and chemical characteristics, hence finding large applications in fields such as"
Tuning the electronic properties of graphene via embedding diborane molecules,2025,"Chengyong Zhong, Zheng Li, Junjie Ma",0,"Tuning the gapless and isotropic Dirac electron behavior in graphene remains an active research pursuit. Recently, a study revealed that the on-surface synthesis of zigzag graphene nanoribbons embedde"
Mean-field modeling of moiré materials: a user's guide with selected applications to twisted bilayer graphene,2025,"Y. H. Kwan, Ziwei Wang, Glenn Wagner",0,"We review the theoretical modeling of moiré materials, focusing on various aspects of magic-angle twisted bilayer graphene (MA-TBG) viewed through the lens of Hartree–Fock mean-field theory. We first "
Computational Modeling of Tetralayer Graphene/h‐BN/MoS2/Phosphorene Heterostructured Sensors for Real‐Time Fault Detection and Predictive Maintenance of High‐Voltage Power Transmission Lines,2025,"Arash Vaghef-Koodehi, Mahmoud Nikoufard",2,"A multi‐physics computational investigation of a transparent tetralayer van der Waals heterostructured sensor composed of graphene, hexagonal boron nitride (h‐BN), molybdenum disulfide (MoS2), and pho"
Evidence of Tomonaga–Luttinger liquid at the folding edge of graphene,2025,"Hao Cai, Wei-Yu Liao, Lin He",2,"Searching for systems in which electronic interactions dominate microscopic quantum behaviors is highly desired in condensed matter physics. Here, we provide spectroscopic evidence for the Tomonaga–Lu"
The Physics of Graphene,2020,M. Katsnelson,57,Leading graphene research theorist Mikhail I. Katsnelson systematically presents the basic concepts of graphene physics in this fully revised second edition. The author illustrates and explains basic 
Quantum anomalous Hall effect in twisted bilayer graphene,2025,"W. Wang 王, Y. Liu 刘, L. He 何",1,"Recent advancements in two-dimensional van der Waals moiré materials have unveiled the captivating landscape of moiré physics. In twisted bilayer graphene (TBG) at ‘magic angles’, strong electronic co"
Supersymmetry in moiré systems: application to twisted bilayer graphene at magic angles,2025,"Leonardo A. Navarro-Labastida, G. Naumis",1,"Moiré systems are becoming a new platform to produce highly correlated many-body quantum phases. Among these systems, twisted bilayer graphene (TBG) rotated at magic angles has played a significant ro"
Tunable flatband Friedrich–Wintgen bound states in the continuum in graphene plasmonics,2025,"Caimei Huang, Zhenghong Li, Xiaodong Zeng",1,"The flatband states, especially flatband quasi-bound states in the continuum (BIC) in periodic graphene nanostructures, are investigated. For a resonant plasmonic waveguide grating consisting of monol"
Plasmon-enhanced infrared photodetection in planar graphene–insulator–graphene (GIG) tunnel junctions,2025,"Vinod Sharma, Saurabh Kishen, N. Emani",0,We present a theoretical study of mid-infrared (MIR) photodetection using planar graphene–insulator–graphene (GIG) tunnel junctions enhanced by electric field confinement due to plasmonic resonance. N
Second-order topological insulator in twisted bilayer graphene with small twist angles,2025,"Fenghua 凤华 Qi 戚, J. Cao 曹, Xingfei 兴飞 Zhou 周",0,"In recent years, the study of higher-order topological states and their material realizations has become a research frontier in topological condensed matter physics. We demonstrate that twisted bilaye"
Hexagonal boron nitride/bilayer graphene moiré superlattices in the Dirac-material family: energy-band engineering and carrier doping by dual gating,2025,"Takuya Iwasaki, Y. Morita",0,"We review the fabrication and transport characterization of hexagonal boron nitride (hBN)/Bernal bilayer graphene (BLG) moiré superlattices. Due to the moiré effect, the hBN/BLG moiré superlattices ex"
"Flatbands, Landau levels, Hall conductivity and Hofstadter butterfly in large-angle twisted bilayer graphene: a high pressure study",2025,"Ayan Mondal, Priyanka Sinha, B. Chittari",0,"Twisted bilayer graphene (TBG) hosts strongly correlated phases at the magic angle ( ∼1.1∘), but these effects are suppressed at larger, more experimentally accessible twist angles where the electroni"
Electron wave and quantum optics in graphene,2024,"H. Chakraborti, C. Gorini, Angelika Knothe",12,"In the last decade, graphene has become an exciting platform for electron optical experiments, in some aspects superior to conventional two-dimensional electron gases (2DEGs). A major advantage, besid"
"Bridging Hubbard model physics and quantum Hall physics in trilayer 
graphene/h−BN
 moiré superlattice",2018,"Ya-Hui Zhang, Senthil Todadri",71,ABC-stacked trilayer graphene aligned with a boron nitride substrate is a fascinating correlated electron system with gate-tunable bandwidth and band topology. This paper derives an explicit lattice e
Effect of intercalated graphene sheet on the desalination performance of a graphene channel,2026,"Zi Wang, Shuang Li, Xinke Zhang",0,"Graphene-based materials, with their exceptional physicochemical properties, have demonstrated great potential in desalination. However, conventional graphene membranes face a trade-off between water "
Coulomb interactions and migrating Dirac cones imaged by local quantum oscillations in twisted graphene,2024,"Matan Bocarsly, Indranil Roy, Vishal Bhardwaj",11,"Flat-band moiré graphene systems are a quintessential platform for investigating correlated phases of matter. Various interaction-driven ground states have been proposed, but despite extensive experim"
