title,year,authors,citations,abstract
"Semi-Quantitative and Qualitative Distinction of Aromatic and Flavour Compounds in Charcoal Grilled, Electric Barbecue Grilled, Infrared Grilled and Superheated-Steam Roasted Lamb Meat Patties Using GC/MC, E-nose and E-tongue",2022,"Raheel Suleman, Teng Hui, Zhenyu Wang",10,"This study investigated the influence of four different methods of cooking (charcoal grilling, electric barbecue grilling, superheated-steam roasting and infrared grilling) on the volatile profile of "
Comprehensive Evaluation of Flavor in Charcoal and Electric-Roasted Tamarix Lamb by HS-SPME/GC-MS Combined with Electronic Tongue and Electronic Nose,2021,"Yujun Xu, Dequan Zhang, Ruixia Chen",31,"To prevent the pollution generated during charcoal roasting of tamarix lamb, environmental-friendly electric is gradually applied in meat processing. The profile and formation of flavor in roasted tam"
Tongue Prick Bionic Angularly Adjustable Microneedles for Enhanced Scarless Wound Healing,2025,"Ni Gan, Xin Li, Meng Wei",35,High‐tension site wounds are frequently accompanied by challenges associated with hypertrophic scarring. The key to achieving scar‐free healing is the creation of a mechanical environment conducive to
"Aggregation-Induced-Emission Materials with Different Electric Charges as an Artificial Tongue: Design, Construction, and Assembly with Various Pathogenic Bacteria for Effective Bacterial Imaging and Discrimination.",2017,"Guang-Jian Liu, Sheng-Nan Tian, Cuihong Li",64,"Imaging-based total bacterial count and type identification of bacteria play crucial roles in clinical diagnostics, public health, biological and medical science, and environmental protection. Herein,"
Tongue-Like Bioactuator with Multiple Skeletal Muscle Tissues,2025,"Xuankai Gao, Kohei Okasaki, Hirono Ohashi",2,"We proposed a tongue-like bioactuator composed of multiple muscle tissues capable of different motion patterns under different stimulation conditions. To mimic the jointless structure of tongue, in wh"
Combined metabolomics and electronic tongue technology elucidated the mechanisms of regulation of color–taste characteristics of Huangqin (Scutellaria baicalensis Georgi) herbal tea after various roasting processes,2025,"Ao Zhang, Yukai Zhao, Feng Pang",2,"Roasting is essential for optimizing Huangqin herbal tea (HHT; Scutellaria baicalensis Georgi) quality. This study integrated metabolomics, electronic tongue analysis, and computer vision to compare m"
Metabolomics and electronic-tongue analysis reveal differences in color and taste quality of large-leaf yellow tea under different roasting methods,2024,"Caiyan Sheng, Mingxia Lu, Jixin Zhang",15,"Roasting is a key process in the production of large-leaf yellow tea (LYT). In this study, we synthesized metabolomics and electronic-tongue analysis to compare the quality of charcoal-roasted, electr"
Efficient Taste Analysis via Single-Channel Hybrid Electronic Tongue,2024,"Sarika Yadav, Raj Ganesh S. Pala",2,"The prospective applications of electronic tongues (e-tongues) in the food, water, beverage, and pharmaceutical industries have long been hampered by the inconvenient nature of series measurements usi"
Electric Field Driven Soft Morphing Matter,2025,"Ciqun Xu, C. Faul, Majid Taghavi",2,"The manipulation of soft morphing robots using external electric fields and wireless control is challenging. Electric field‐driven soft morphing matter, termed electro‐morphing gel (e‐MG), that exhibi"
Propagation of Photoinduced Electric Field Changes Through Phytochrome and their Impact on Conformational Transitions,2025,"Mariafrancesca La Greca, Anh Duc Nguyen, A. Kraskov",1,"In phytochromes, photoisomerization of the chromophore and subsequent structural relaxations lead to the functionally essential secondary structure transition of the tongue, a phytochrome‐specific pro"
