title,year,authors,citations,abstract
RDMA over Ethernet for Distributed Training at Meta Scale,2024,"Adi Gangidi, Rui Miao, Shengbao Zheng",164,The rapid growth in both computational density and scale in AI models in recent years motivates the construction of an efficient and reliable dedicated network infrastructure. This paper presents the 
AERO: Automotive Ethernet Real-Time Observer for Anomaly Detection in In-Vehicle Networks,2024,"S. Jeong, H. Kim, Mee Lan Han",22,"Automotive Ethernet enables high-bandwidth in-vehicle networking, facilitating the transmission of sensor data among electronic control units. However, the increasing connectivity and potential vulner"
Time-slotted software-defined Industrial Ethernet for real-time Quality of Service in Industry 4.0,2019,"Peng Zeng, Zhaowei Wang, Zhengyi Jia",446,"Abstract Reliable and timely data delivery, namely, real-time communication, is a key aspect for achieving the agile manufacturing goals of Industry 4.0. Moreover, reducing the maintenance, infrastruc"
A Perspective on Ethernet in Automotive Communications—Current Status and Future Trends,2023,"L. L. Lo Bello, Gaetano Patti, Luca Leonardi",55,"Automated driving requires correct perception of the surrounding environment in any driving condition. To achieve this result, not only are many more sensors than in current Advanced Driver Assistant "
A Survey of Real-Time Ethernet Modeling and Design Methodologies: From AVB to TSN,2022,"Li-Ming Deng, Guoqi Xie, Hong Liu",113,"With the development of real-time critical systems, the ever-increasing communication data traffic puts forward high-bandwidth and low-delay requirements for communication networks. Therefore, various"
TOW-IDS: Intrusion Detection System Based on Three Overlapped Wavelets for Automotive Ethernet,2023,"Mee Lan Han, Byung Il Kwak, H. Kim",42,Devices that ensure vehicle and driver safety or provide services to drivers generate a substantial amount of network traffic. The traffic is transmitted to the In-Vehicle Network (IVN) depending on t
A Systematic Review on Security Attacks and Countermeasures in Automotive Ethernet,2023,"Marco De Vincenzi, Gianpiero Costantino, Ilaria Matteucci",34,"In the past years, the automotive industry has experienced a technological revolution driven by the increasing demand of connectivity and data to develop driver-assistance systems and autonomous vehic"
Data Center Ethernet and Remote Direct Memory Access: Issues at Hyperscale,2023,"T. Hoefler, Duncan Roweth, K. Underwood",23,Remote direct memory access (RDMA) over converged Ethernet (RoCE) was an attempt to adopt modern RDMA features into existing Ethernet installations. We revisit RoCE’s design points and conclude that s
Datacenter Ethernet and RDMA: Issues at Hyperscale,2023,"T. Hoefler, Duncan Roweth, K. Underwood",17,"We observe that emerging artificial intelligence, high-performance computing, and storage workloads pose new challenges for large-scale datacenter networking. RDMA over Converged Ethernet (RoCE) was a"
"Industrial Communication Systems and Their Future Challenges: Next-Generation Ethernet, IIoT, and 5G",2019,"S. Vitturi, C. Zunino, T. Sauter",306,Industrial communication systems represent one of the most important innovations of the last decades in the context of factory and process automation systems. They are networks specifically designed t
