title,year,authors,citations,abstract
Advances and Open Problems in Federated Learning,2019,"P. Kairouz, H. B. McMahan, Brendan Avent",8205,Federated learning (FL) is a machine learning setting where many clients (e.g. mobile devices or whole organizations) collaboratively train a model under the orchestration of a central server (e.g. se
"Federated Learning: Challenges, Methods, and Future Directions",2019,"Tian Li, Anit Kumar Sahu, Ameet Talwalkar",5752,"Federated learning involves training statistical models over remote devices or siloed data centers, such as mobile phones or hospitals, while keeping data localized. Training in heterogeneous and pote"
Federated Learning: Strategies for Improving Communication Efficiency,2016,"Jakub Konecný, H. B. McMahan, Felix X. Yu",5315,Federated Learning is a machine learning setting where the goal is to train a high-quality centralized model while training data remains distributed over a large number of clients each with unreliable
Towards Federated Learning at Scale: System Design,2019,"Keith Bonawitz, Hubert Eichner, W. Grieskamp",3096,Federated Learning is a distributed machine learning approach which enables model training on a large corpus of decentralized data. We have built a scalable production system for Federated Learning in
Federated Learning with Non-IID Data,2018,"Yue Zhao, Meng Li, Liangzhen Lai",3171,"Federated learning enables resource-constrained edge compute devices, such as mobile phones and IoT devices, to learn a shared model for prediction, while keeping the training data local. This decentr"
The future of digital health with federated learning,2020,"Nicola Rieke, Jonny Hancox, Wenqi Li",2563,"Data-driven machine learning (ML) has emerged as a promising approach for building accurate and robust statistical models from medical data, which is collected in huge volumes by modern healthcare sys"
How To Backdoor Federated Learning,2018,"Eugene Bagdasarian, Andreas Veit, Yiqing Hua",2429,"Federated learning enables thousands of participants to construct a deep learning model without sharing their private training data with each other. For example, multiple smartphones can jointly train"
Model-Contrastive Federated Learning,2021,"Qinbin Li, Bingsheng He, D. Song",1594,Federated learning enables multiple parties to collaboratively train a machine learning model without communicating their local data. A key challenge in federated learning is to handle the heterogenei
Federated Learning on Non-IID Data Silos: An Experimental Study,2021,"Q. Li, Yiqun Diao, Quan Chen",1366,"Due to the increasing privacy concerns and data regulations, training data have been increasingly fragmented, forming distributed databases of multiple “data silos” (e.g., within different organizatio"
Federated Learning in Mobile Edge Networks: A Comprehensive Survey,2019,"Wei Yang Bryan Lim, Nguyen Cong Luong, D. Hoang",2180,"In recent years, mobile devices are equipped with increasingly advanced sensing and computing capabilities. Coupled with advancements in Deep Learning (DL), this opens up countless possibilities for m"
Inverting Gradients - How easy is it to break privacy in federated learning?,2020,"Jonas Geiping, Hartmut Bauermeister, Hannah Dröge",1581,The idea of federated learning is to collaboratively train a neural network on a server. Each user receives the current weights of the network and in turns sends parameter updates (gradients) based on
Towards Personalized Federated Learning,2021,"A. Tan, Han Yu, Li-zhen Cui",1205,"In parallel with the rapid adoption of artificial intelligence (AI) empowered by advances in AI research, there has been growing awareness and concerns of data privacy. Recent significant developments"
Exploiting Shared Representations for Personalized Federated Learning,2021,"Liam Collins, Hamed Hassani, Aryan Mokhtari",1055,"Deep neural networks have shown the ability to extract universal feature representations from data such as images and text that have been useful for a variety of learning tasks. However, the fruits of"
Edge-IIoTset: A New Comprehensive Realistic Cyber Security Dataset of IoT and IIoT Applications for Centralized and Federated Learning,2022,"M. Ferrag, Othmane Friha, Djallel Hamouda",765,"In this paper, we propose a new comprehensive realistic cyber security dataset of IoT and IIoT applications, called Edge-IIoTset, which can be used by machine learning-based intrusion detection system"
Federated Learning Based on Dynamic Regularization,2021,"D. A. E. Acar, Yue Zhao, Ramon Matas Navarro",1077,"We propose a novel federated learning method for distributively training neural network models, where the server orchestrates cooperation between a subset of randomly chosen devices in each round. We "
FedBN: Federated Learning on Non-IID Features via Local Batch Normalization,2021,"Xiaoxiao Li, Meirui Jiang, Xiaofei Zhang",1132,The emerging paradigm of federated learning (FL) strives to enable collaborative training of deep models on the network edge without centrally aggregating raw data and hence improving data privacy. In
A survey on security and privacy of federated learning,2021,"Viraaji Mothukuri, R. Parizi, Seyedamin Pouriyeh",1289,Abstract Federated learning (FL) is a new breed of Artificial Intelligence (AI) that builds upon decentralized data and training that brings learning to the edge or directly on-device. FL is a new res
Local Model Poisoning Attacks to Byzantine-Robust Federated Learning,2019,"Minghong Fang, Xiaoyu Cao, Jinyuan Jia",1505,"In federated learning, multiple client devices jointly learn a machine learning model: each client device maintains a local model for its local training dataset, while a master device maintains a glob"
Federated Learning for Internet of Things: A Comprehensive Survey,2021,"Dinh C. Nguyen, Ming Ding, P. Pathirana",1261,"The Internet of Things (IoT) is penetrating many facets of our daily life with the proliferation of intelligent services and applications empowered by artificial intelligence (AI). Traditionally, AI t"
Ditto: Fair and Robust Federated Learning Through Personalization,2020,"Tian Li, Shengyuan Hu, Ahmad Beirami",1271,"Fairness and robustness are two important concerns for federated learning systems. In this work, we identify that robustness to data and model poisoning attacks and fairness, measured as the uniformit"
