title,year,authors,citations,abstract
Self‐Reinforced Bimetallic Mito‐Jammer for Ca2+ Overload‐Mediated Cascade Mitochondrial Damage for Cancer Cuproptosis Sensitization,2024,"Chier Du, Xun Guo, Xiaoling Qiu",63,"Overproduction of reactive oxygen species (ROS), metal ion accumulation, and tricarboxylic acid cycle collapse are crucial factors in mitochondria‐mediated cell death. However, the highly adaptive nat"
Channel-Aware Jammer Selection and Power Control in Covert Communication,2024,"Rongrong He, Jin Chen, Guoxin Li",22,"This paper considers a multi-jammer-assisted covert communication scenario, where a transmitter communicates with a receiver without being detected by a warden under the assistance of multiple friendl"
Illegal Intelligent Reflecting Surface Based Active Channel Aging: When Jammer Can Attack Without Power and CSI,2023,"Huan Huang, Ying Zhang, Hongliang Zhang",33,"Illegal intelligent reflecting surfaces (I-IRSs), i.e., the illegal deployment and utilization of IRSs, impose serious harmful impacts on wireless networks. The existing I-IRS-based illegal jammer (IJ"
Performance Analysis and Optimization for Jammer-Aided Multiantenna UAV Covert Communication,2022,"Hongyang Du, Dusist Niyato, Yuan-ai Xie",85,Unmanned aerial vehicles (UAVs) have attracted a lot of research attention because of their high mobility and low cost in serving as temporary aerial base stations (BSs) and providing high data rates 
Task Assignment in UAV-Enabled Front Jammer Swarm: A Coalition Formation Game Approach,2023,"Tianxian Zhang, Yuanhang Wang, Zhijie Ma",28,"Thanks to the low detectability and low cost of unmanned aerial vehicles (UAVs), UAV-enabled front swarm jamming has been considered a promising method to counter netted radar systems. Nevertheless, t"
Radar and Jammer Intelligent Game under Jamming Power Dynamic Allocation,2023,"Jie Geng, B. Jiu, Kang Li",27,"In modern electronic warfare, the intelligence of the jammer greatly worsens the anti-jamming performance of traditional passive suppression methods. How to actively design anti-jamming strategies to "
Optimal RIS Allocations for PLS With Uncertain Jammer and Eavesdropper,2023,"Siyu Chen, Yan-cheng Ji, Yan Jiang",17,"With deployment of 5G and emerging 6G networks, the demand of wireless communication for transmission capacity as well as the transmission security in consumer electronics is increasing. Reconfigurabl"
Deep Learning-Enabled Deceptive Jammer Detection for Low Probability of Intercept Communications,2023,"Hamda Bouzabia, Tri Nhu Do, Georges Kaddoum",19,"The detection of deceptive jamming in low probability of intercept/low probability of detection (LPI/LPD) tactical communications has been receiving increasing attention, especially in the context of "
Jammer classification with Federated Learning,2023,"Peng Wu, Helena Calatrava, Tales Imbiriba",12,"Jamming signals can jeopardize the operation of GNSS receivers until deying its operation. Given their ubiquity, jamming mitigation and localization techniques are of crucial importance, for which jam"
Suppression of Mainbeam Deceptive Jammer With FDA-MIMO Radar,2020,"Lan Lan, Jingwei Xu, G. Liao",203,"Suppression of radar-to-radar jammers, especially the mainbeam jammers, has been an urgent demand in vehicular sensing systems with the expected increased number of vehicles equipped with radar system"
Mainlobe Deceptive Jammer Suppression in SF-RDA Radar: Joint Transmit-Receive Processing,2022,"Lan Lan, Jingwei Xu, G. Liao",39,"The problem of mainlobe deceptive jammer suppression with a novel stepped frequency (SF)-receive delay array (RDA) radar is addressed in this paper. In our system design, the linear frequency modulati"
UAV-Aided Covert Communication With a Multi-Antenna Jammer,2021,"Xinying Chen, Ning Zhang, Jie Tang",63,"Owing to the flexible mobility and convenient deployment, unmanned aerial vehicle (UAV) aided networks can facilitate many applications. However, the open accessibility of wireless communication bring"
“Advancing Secretly by an Unknown Path”: A Reinforcement Learning-Based Hidden Strategy for Combating Intelligent Reactive Jammer,2022,"Wen Li, Yuan Qin, Zhibin Feng",19,This letter investigates the problem of combating the intelligent reactive jammer through a deep reinforcement learning (DRL) based hidden strategy. Existing anti-jamming researches always assume a ca
