title,year,authors,citations,abstract
"Machine Learning: Algorithms, Real-World Applications and Research Directions",2021,Iqbal H. Sarker,4181,"In the current age of the Fourth Industrial Revolution (4IR or Industry 4.0), the digital world has a wealth of data, such as Internet of Things (IoT) data, cybersecurity data, mobile data, business d"
Fashion-MNIST: a Novel Image Dataset for Benchmarking Machine Learning Algorithms,2017,"Han Xiao, Kashif Rasul, Roland Vollgraf",10395,"We present Fashion-MNIST, a new dataset comprising of 28x28 grayscale images of 70,000 fashion products from 10 categories, with 7,000 images per category. The training set has 60,000 images and the t"
A Survey on Bias and Fairness in Machine Learning,2019,"Ninareh Mehrabi, Fred Morstatter, N. Saxena",5630,"With the widespread use of artificial intelligence (AI) systems and applications in our everyday lives, accounting for fairness has gained significant importance in designing and engineering of such s"
Towards A Rigorous Science of Interpretable Machine Learning,2017,"F. Doshi-Velez, Been Kim",4840,"As machine learning systems become ubiquitous, there has been a surge of interest in interpretable machine learning: systems that provide explanation for their outputs. These explanations are often us"
TensorFlow: A system for large-scale machine learning,2016,"Martín Abadi, P. Barham, Jianmin Chen",19457,"TensorFlow is a machine learning system that operates at large scale and in heterogeneous environments. Tensor-Flow uses dataflow graphs to represent computation, shared state, and the operations that"
TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,2016,"Martín Abadi, Ashish Agarwal, P. Barham",11632,"TensorFlow is an interface for expressing machine learning algorithms, and an implementation for executing such algorithms. A computation expressed using TensorFlow can be executed with little or no c"
Multimodal Machine Learning: A Survey and Taxonomy,2017,"T. Baltrušaitis, Chaitanya Ahuja, Louis-philippe Morency",3932,"Our experience of the world is multimodal - we see objects, hear sounds, feel texture, smell odors, and taste flavors. Modality refers to the way in which something happens or is experienced and a res"
Membership Inference Attacks Against Machine Learning Models,2016,"R. Shokri, M. Stronati, Congzheng Song",5029,We quantitatively investigate how machine learning models leak information about the individual data records on which they were trained. We focus on the basic membership inference attack: given a data
Open Graph Benchmark: Datasets for Machine Learning on Graphs,2020,"Weihua Hu, Matthias Fey, M. Zitnik",3438,"We present the Open Graph Benchmark (OGB), a diverse set of challenging and realistic benchmark datasets to facilitate scalable, robust, and reproducible graph machine learning (ML) research. OGB data"
Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting,2015,"Xingjian Shi, Zhourong Chen, Hao Wang",9376,The goal of precipitation nowcasting is to predict the future rainfall intensity in a local region over a relatively short period of time. Very few previous studies have examined this crucial and chal
Practical Black-Box Attacks against Machine Learning,2016,"Nicolas Papernot, P. Mcdaniel, I. Goodfellow",3989,"Machine learning (ML) models, e.g., deep neural networks (DNNs), are vulnerable to adversarial examples: malicious inputs modified to yield erroneous model outputs, while appearing unmodified to human"
Scikit-learn: Machine Learning in Python,2011,"Fabian Pedregosa, G. Varoquaux, Alexandre Gramfort",87614,Scikit-learn is a Python module integrating a wide range of state-of-the-art machine learning algorithms for medium-scale supervised and unsupervised problems. This package focuses on bringing machine
Interpretable Machine Learning,2019,"Bradley C. Boehmke, Brandon M. Greenwell",3029,"Interpretable machine learning has become a popular research direction as deep neural networks (DNNs) have become more powerful and their applications more mainstream, yet DNNs remain difficult to und"
Pattern Recognition and Machine Learning,2006,Radford M. Neal,39158,Probability Distributions.- Linear Models for Regression.- Linear Models for Classification.- Neural Networks.- Kernel Methods.- Sparse Kernel Machines.- Graphical Models.- Mixture Models and EM.- App
Machine Learning Algorithms: A Review,2022,Ayon Dey,2014,.
Practical Bayesian Optimization of Machine Learning Algorithms,2012,"Jasper Snoek, H. Larochelle, Ryan P. Adams",9154,"The use of machine learning algorithms frequently involves careful tuning of learning parameters and model hyperparameters. Unfortunately, this tuning is often a ""black art"" requiring expert experienc"
Evaluation metrics and statistical tests for machine learning,2024,"O. Rainio, J. Teuho, R. Klén",956,"Research on different machine learning (ML) has become incredibly popular during the past few decades. However, for some researchers not familiar with statistics, it might be difficult to understand h"
SoilGrids250m: Global gridded soil information based on machine learning,2017,"T. Hengl, Jorge Mendes de Jesus, G. Heuvelink",3533,This paper describes the technical development and accuracy assessment of the most recent and improved version of the SoilGrids system at 250m resolution (June 2016 update). SoilGrids provides global 
Book review: Christoph Molnar. 2020. Interpretable Machine Learning: A Guide for Making Black Box Models Explainable,2024,R. K. Sinha,750,"Christoph Molnar. 2020. Interpretable Machine Learning: A Guide for Making Black Box Models Explainable, Lulu.com, pp. 318, ₹6690."
On Hyperparameter Optimization of Machine Learning Algorithms: Theory and Practice,2020,"Li Yang, A. Shami",2708,"Abstract Machine learning algorithms have been used widely in various applications and areas. To fit a machine learning model into different problems, its hyper-parameters must be tuned. Selecting the"
Optimization Methods for Large-Scale Machine Learning,2016,"L. Bottou, Frank E. Curtis, J. Nocedal",3718,"This paper provides a review and commentary on the past, present, and future of numerical optimization algorithms in the context of machine learning applications. Through case studies on text classifi"
Explainable AI: A Review of Machine Learning Interpretability Methods,2020,"Pantelis Linardatos, Vasilis Papastefanopoulos, S. Kotsiantis",2494,"Recent advances in artificial intelligence (AI) have led to its widespread industrial adoption, with machine learning systems demonstrating superhuman performance in a significant number of tasks. How"
Applications of machine learning to machine fault diagnosis: A review and roadmap,2020,"Y. Lei, Bin Yang, Xinwei Jiang",2374,Abstract Intelligent fault diagnosis (IFD) refers to applications of machine learning theories to machine fault diagnosis. This is a promising way to release the contribution from human labor and auto
Thumbs up? Sentiment Classification using Machine Learning Techniques,2002,"B. Pang, Lillian Lee, Shivakumar Vaithyanathan",9523,"We consider the problem of classifying documents not by topic, but by overall sentiment, e.g., determining whether a review is positive or negative. Using movie reviews as data, we find that standard "
Machine learning in automated text categorization,2001,F. Sebastiani,9038,"The automated categorization (or classification) of texts into predefined categories has witnessed a booming interest in the last 10 years, due to the increased availability of documents in digital fo"
Adversarial Machine Learning at Scale,2016,"Alexey Kurakin, I. Goodfellow, Samy Bengio",3365,"Adversarial examples are malicious inputs designed to fool machine learning models. They often transfer from one model to another, allowing attackers to mount black box attacks without knowledge of th"
Federated Machine Learning,2019,"Qiang Yang, Yang Liu, Tianjian Chen",2953,"Today’s artificial intelligence still faces two major challenges. One is that, in most industries, data exists in the form of isolated islands. The other is the strengthening of data privacy and secur"
