title,year,authors,citations,abstract
Social media and youth mental health: Simple narratives produce biased interpretations.,2024,"C. Sewall, D. Parry",9,"Many academics and pundits contend that social media use is the primary cause of an international youth mental health crisis. However, these claims often rely on correlational evidence, ignoring the c"
Social media and youth political engagement: Preaching to the converted or providing a new voice for youth?,2017,"Avril Keating, Gabriella Melis",98,"Amidst concern about declining youth political engagement, it is often suggested that social media can provide a solution to this challenge. In this article, however, we argue that these online tools "
Digital Storytelling in Cultural and Heritage Tourism: A Review of Social Media Integration and Youth Engagement Frameworks,2025,"Kittichai Kasemsarn, F. Nickpour",35,"Digital storytelling in cultural and heritage tourism offers significant potential for youth engagement through social media platforms. However, current digital storytelling frameworks illustrate rese"
"Sexualized Images on Social Media and Adolescent Girls’ Mental Health: Qualitative Insights from Parents, School Support Service Staff and Youth Mental Health Service Providers",2022,"Alana Papageorgiou, D. Cross, C. Fisher",14,"This research explored adults’ perceptions of how sexualized images typically found on social media might influence adolescent girls’ mental health, what support girls might need should they experienc"
SOCIAL MEDIA AND YOUTH,2021,Amra Kurešepi,0,"Social media has a huge impact on everyone’s lifestyle especially on the youth. This influence has its pros and cons, some of which are further discussed in the article below. The main purpose of the "
The Impact of Social Media on Youth Mental Health: Challenges and Opportunities,2025,"Liang Jing, Chunbo He",57,"This study explores the multifaceted relationship between social media usage and youth mental health. With the rapid integration of digital platforms into daily life, concerns regarding psychological "
Social Media and Suicide Risk in Youth.,2024,"L. Jaycox, Eric R Murphy, J. L. Zehr",27,"Importance
Youth, parents, educators, and policymakers are concerned about the potential relationship between social media use and negative mental health outcomes, including risk for suicidal thoughts"
Social media addiction and its relationship with feelings of alienation and cognitive distortions among youth in Jordan,2025,"O. I. Alorani, S. Y. Rababa’h, I.A.M. Al-Maraziq",10,"Introduction. Social media has evolved over the past decade into one of the most engaging forms of online activity, experiencing exponential growth in the number of users. However, this surge can lead"
Using Social Media Sites and Its Relation with Social Isolation and Selfishness in Youth: A Predictive Study,2025,"M. Khalifa, S. Basha, Hossam Fayez",5,"This study aimed at highlighting the correlation between social isolation and selfishness in youth and the intensive use of social media in a sample of university students, and revealing the possibili"
Social media and connective journalism: The formation of counterpublics and youth civic participation,2018,"Regina M. Marchi, L. Clark",34,"Based on a study of US high school students from predominantly working-class, immigrant backgrounds, this article illustrates how young people used social media to share personal opinions, experiences"
The Impact of Social Media Use on Sleep and Mental Health in Youth: a Scoping Review,2024,"Danny J. Yu, Y. Wing, T. Li",52,"Social media use (SMU) and other internet-based technologies are ubiquitous in today’s interconnected society, with young people being among the commonest users. Previous literature tends to support t"
Exploring the Impact of Social Media on Youth's Social Skills and Interpersonal Relationships,2025,"Dr. Sanjay Payasi, Dr. Vikas Jain",5,"Social media platforms have become a central part
of youth culture, profoundly influencing how
young people communicate and build relationships.
While social media offers opportunities for
connection,"
From Likes to Bonds: A Scoping Review on the Impact of Social Media on Youth Social Interaction Patterns,2025,"Charli Sitinjak, Veronica Kristiyani, Daniel Handoko",3,"Social media has profoundly reshaped the way youth interact, communicate, and build relationships in the digital age. As platforms like Instagram, TikTok, Facebook, and WhatsApp become central to dail"
"Storing, Not Reading: Investigating the Link Between Upward Social Comparison via Social Media and Digital Hoarding Behavior in Chinese Youth",2023,"Yan Liu, Xinli Chi, Xuemin Xin",12,Background Digital hoarding has emerged as a pervasive psychological phenomenon and behavioral challenge among contemporary youth. This study focused on exploring the relationship between upward socia
Social Media and Anxiety in Youth: A Narrative Review and Clinical Update.,2023,"Megan D. Chochol, Kriti Gandhi, P. Croarkin",9,Social media use and related research on psychiatric symptoms continue to increase and evolve rapidly. The potential bidirectional relationships and correlations between social media use and anxiety s
Da’wah on the Social Media: The Youth Engagement in Digital Islamic Content,2025,"Muna Hajar Roslan, Siti Zafrina Mohd Zahari, Mohamad Zulkifli Abdul Ghani",5,"This systematic review examines the evolution and effectiveness of Islamic preaching (da’wah) strategies on Instagram, focusing specifically on youth engagement patterns from 2018 to 2022. Through rig"
"Exploring the interconnection of social media, mental health and youth: A bibliometric analysis",2023,"Nurliyana Abas, Hanani Hussin, Norafiza Mohd Hardi",12,"This study explores social media, mental health, and youth interconnection and proposes potential future research directions. Utilising bibliometric analysis, we examined a selected set of 58 papers f"
Probing the digital exposome: associations of social media use patterns with youth mental health,2024,"David Pagliaccio, Kate T. Tran, E. Visoki",14,"Recently, the U.S. Surgeon General issued an advisory highlighting the lack of knowledge about the safety of ubiquitous social media use on adolescent mental health. For many youths, social media use "
How social is social media for transgender and gender-diverse youth? Association of online social experiences with internalizing mental health problems,2024,"Lena Herrmann, Claus Barkmann, Carola Bindt",14,"Adolescents spend a critical amount of their free time on the Internet and social media. Transgender and gender-diverse (TGD) adolescents, who report elevated rates of mental health issues, especially"
Impact of Social Media on Cultural Identity in Urban Youth,2024,Gibson Echesony,10,"Purpose: The aim of the study was to assess the impact of social media on cultural identity in urban youth. 
Materials and Methods: This study adopted a desk methodology. A desk study research design "
Will restricting the age of access to social media reduce mental illness in Australian youth?,2024,"Julie A. Blake, Andre Sourander, Akina Kato",7,"In recent years, there has been a substantial increase in the prevalence of youth mental illness which has coincided with the growing use of social media throughout society. Studies have demonstrated "
"Debate: More, not less social media content moderation? How to better protect youth mental health online.",2024,I. Russell,7,"BACKGROUND
This article challenges Zhang et al.'s claims that social media content moderation is proving detrimental to youth mental health and asserts that greater emphasis on the systemic risks pose"
Body weight perceptions among youth from six countries and associations with social media use: Findings from the International Food Policy Study.,2024,"Karen Hock, L. Vanderlee, C. White",7,"BACKGROUND
Body dissatisfaction is associated with poor psychological and physical health, particularly among young people. However, limited data exist on body size perceptions across countries and fa"
Extensive social media use and frequency of current e-cigarette use among US youth,2024,"Maggie K. Richardson, Osayande Agbonlahor, Joy L. Hart",6,Introduction Both electronic cigarette (e-cigarette) and social media use among youth are public health concerns. While the health impacts of extensive social media use and frequent use of e-cigarette
Strengthening the Role of Youth in Promoting Religious Moderation through Social Media,2024,"Tri Yuliana Wijayanti, Syukri Alfauzi Harlis",5,"With the rapid development of technology, social media has become a vital tool in disseminating information, particularly among youth. This study aims to analyze and identify effective strategies to s"
Monitoring youth-appealing advertising on social media for the e-cigarette brand Lost Mary,2024,"M. Jeong, O. Ganz, E. Talbot",5,Lost Mary is a popular e-cigarette brand among youth in the United States. This study aimed to analyze Lost Mary’s branded social media activity and assess whether marketing efforts may have contribut
